Pavadinimas
Adresas 20
+3706111111
Žaliakalnis;P. Dovydaičio g.;56;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Aleksotas;Seniavos pl.;83;Karkasinis; 2000-05-03;40;5;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Žaliakalnis;P. Dovydaičio g.;56;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Aleksotas;Seniavos pl.;83;Karkasinis; 2000-05-03;40;5;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Žaliakalnis;P. Dovydaičio g.;56;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Aleksotas;Seniavos pl.;83;Karkasinis; 2000-05-03;40;5;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Žaliakalnis;P. Dovydaičio g.;56;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Aleksotas;Seniavos pl.;83;Karkasinis; 2000-05-03;40;5;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Žaliakalnis;P. Dovydaičio g.;56;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Žaliakalnis;P. Dovydaičio g.;54;Mūrinis;1930-05-03;20;4;
Aleksotas;Seniavos pl.;83;Karkasinis; 2000-05-03;40;5;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
Dainava;Partizanų g.;110;   Mūrinis;1922-04-01;300;4;
